Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_High+Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
30.10.2015,1147.242,1150.019,1139.211,1141.831,-5.411,1258,1158.78,1162.64,1143.38,1147.24,2306.02,0.00,4612.04,-15.40,19.26,0
01.11.2015,1141.652,1141.992,1134.158,1140.591,-1.24,60,1147.24,1150.02,1139.21,1141.83,2289.23,-5.41,4578.30,-8.19,10.81,0
02.11.2015,1140.659,1142.989,1132.549,1133.131,-7.46,1380,1141.65,1141.99,1134.16,1140.59,2276.15,-1.24,4558.39,-1.40,7.83,0
03.11.2015,1133.131,1138.24,1114.358,1119.929,-13.202,1380,1140.66,1142.99,1132.55,1133.13,2275.54,-7.46,4549.33,-9.86,10.44,0
04.11.2015,1119.929,1122.78,1106.329,1109.861,-10.068,1381,1133.13,1138.24,1114.36,1119.93,2252.60,-13.20,4505.66,-18.31,23.88,0
05.11.2015,1109.811,1111.449,1102.919,1105.38,-4.481,1380,1119.93,1122.78,1106.33,1109.86,2229.11,-10.07,4458.90,-12.92,16.45,0
06.11.2015,1105.39,1110.429,1085.4,1089.452,-15.928,1320,1109.81,1111.45,1102.92,1105.38,2214.37,-4.48,4429.56,-6.07,8.53,1
08.11.2015,1089.742,1091.439,1089.029,1089.939,0.487,60,1105.39,1110.43,1085.40,1089.45,2195.83,-15.93,4390.67,-20.98,25.03,1
09.11.2015,1089.939,1095.72,1088.339,1092.818,2.879,1380,1089.74,1091.44,1089.03,1089.94,2180.47,0.49,4360.15,-1.50,2.41,0
10.11.2015,1092.868,1094.588,1085.179,1090.09,-2.728,1372,1089.94,1095.72,1088.34,1092.82,2184.06,2.88,4366.82,-2.90,7.38,0
11.11.2015,1090.09,1093.55,1084.109,1086.731,-3.359,1380,1092.87,1094.59,1085.18,1090.09,2179.77,-2.73,4362.73,-4.50,9.41,0
12.11.2015,1086.731,1089.639,1074.129,1083.93,-2.801,1380,1090.09,1093.55,1084.11,1086.73,2177.66,-3.36,4354.48,-6.82,9.44,0
13.11.2015,1083.929,1088.558,1079.708,1083.491,-0.439,1320,1086.73,1089.64,1074.13,1083.93,2163.77,-2.80,4334.43,-5.71,15.51,1
15.11.2015,1089.14,1090.169,1085.929,1089.199,5.708,60,1083.93,1088.56,1079.71,1083.49,2168.27,-0.44,4335.69,-5.07,8.85,0
16.11.2015,1089.22,1098.139,1081.309,1083.639,-5.56,1380,1089.14,1090.17,1085.93,1089.20,2176.10,5.71,4354.44,-0.97,4.24,0
17.11.2015,1083.64,1084.969,1065.428,1069.208,-14.431,1380,1089.22,1098.14,1081.31,1083.64,2179.45,-5.56,4352.31,-14.50,16.83,1
18.11.2015,1069.208,1075.359,1064.615,1071.708,2.5,1379,1083.64,1084.97,1065.43,1069.21,2150.40,-14.43,4303.25,-15.76,19.54,1
