Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2015-12-15,1063.74,1068.68,1059.7,1061.73,-0.06,1053.95,1065.69,1046.64,1061.79,11.74,0.33,4228.07,-3.9,19.05,1
2015-11-30,1057.57,1069.98,1053.51,1064.66,2.93,1063.74,1068.68,1059.7,1061.73,4.94,-0.06,4253.85,-6.95,8.98,0
2015-12-02,1070.35,1070.65,1051,1054.13,-10.53,1057.57,1069.98,1053.51,1064.66,12.41,2.93,4245.72,-5.32,16.47,1
2015-12-18,1053.45,1071.3,1051.49,1066.65,12.52,1070.35,1070.65,1051,1054.13,0.3,-10.53,4246.13,-16.52,19.65,0
2015-12-30,1069.17,1072.47,1059.71,1061.53,-5.12,1053.45,1071.3,1051.49,1066.65,17.85,12.52,4242.89,-4.65,19.81,0
2015-12-17,1071.09,1073.21,1048.03,1051.58,-9.95,1069.17,1072.47,1059.71,1061.53,3.3,-5.12,4262.88,-10.94,12.76,1
2015-11-27,1073.3,1074,1052.87,1058.63,7.05,1071.09,1073.21,1048.03,1051.58,2.12,-9.95,4243.91,-21.63,25.18,1
2015-12-01,1064.92,1074.77,1063.4,1069.24,10.61,1073.3,1074,1052.87,1058.63,0.7,7.05,4258.8,-15.37,21.13,1
2015-11-26,1071.97,1075.1,1069.96,1072.22,2.98,1064.92,1074.77,1063.4,1069.24,9.85,10.61,4272.33,-5.53,11.37,0
2015-12-29,1068.99,1075.52,1067.77,1069.11,-3.11,1071.97,1075.1,1069.96,1072.22,3.13,2.98,4289.25,-2.88,5.14,1
2015-11-18,1068.6,1075.73,1065,1070.7,1.59,1068.99,1075.52,1067.77,1069.11,6.53,-3.11,4281.39,-6.41,7.75,1
2015-12-23,1073.62,1075.73,1068.37,1071.13,0.43,1068.6,1075.73,1065,1070.7,7.13,1.59,4280.03,-5.03,10.73,0
2015-11-23,1075.84,1076.02,1067.09,1068.63,-2.5,1073.62,1075.73,1068.37,1071.13,2.11,0.43,4288.85,-4.6,7.36,1
2015-12-28,1076.6,1076.64,1066.77,1069.83,1.2,1075.84,1076.02,1067.09,1068.63,0.18,-2.5,4287.58,-7.39,8.93,1
