Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High+Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
07.06.2023,23.122,23.245,22.575,22.717,-0.406,22.98,23.265,22.789,23.123,46.054,0.148,92.15,-0.142,0.476,1
07.05.2023,22.975,23.265,22.789,23.123,0.148,22.91,23.052,22.883,22.975,45.935,0.069,91.82,-0.077,0.169,0
07.04.2023,22.905,23.052,22.883,22.975,0.069,22.78,23.01,22.714,22.906,45.724,0.134,91.41,-0.104,0.296,1
07.03.2023,22.776,23.01,22.714,22.906,0.134,22.58,22.836,22.356,22.772,45.192,0.194,90.54,-0.064,0.48,1
06.30.2023,22.578,22.836,22.356,22.772,0.194,22.69,22.877,22.317,22.578,45.194,-0.113,90.46,-0.299,0.56,1
06.29.2023,22.692,22.877,22.317,22.578,-0.113,22.86,22.952,22.613,22.691,45.565,-0.164,91.11,-0.261,0.339,1
06.28.2023,22.857,22.952,22.613,22.691,-0.164,22.79,23.073,22.758,22.855,45.831,0.063,91.48,-0.218,0.315,0
06.27.2023,22.794,23.073,22.758,22.855,0.063,22.44,22.878,22.429,22.792,45.307,0.362,90.53,-0.086,0.449,0
06.26.2023,22.435,22.878,22.429,22.792,0.362,22.26,22.644,22.118,22.43,44.762,0.174,89.45,-0.214,0.526,1
06.23.2023,22.256,22.644,22.118,22.43,0.174,22.65,22.721,22.219,22.256,44.94,-0.398,89.85,-0.465,0.502,1
06.22.2023,22.654,22.721,22.219,22.256,-0.398,23.15,23.173,22.613,22.654,45.786,-0.499,91.59,-0.519,0.56,1
06.21.2023,23.151,23.173,22.613,22.654,-0.499,23.96,24.021,23.086,23.153,47.107,-0.811,94.22,-0.868,0.935,0
06.20.2023,23.964,24.021,23.086,23.153,-0.811,24.19,24.194,23.905,23.964,48.099,-0.231,96.26,-0.23,0.289,0
06.19.2023,24.194,24.194,23.905,23.964,-0.231,23.88,24.198,23.841,24.195,48.039,0.311,96.12,-0.003,0.357,0
06.16.2023,23.884,24.198,23.841,24.195,0.311,23.91,23.932,23.27,23.884,47.202,-0.031,95.00,-0.048,0.662,0
06.15.2023,23.914,23.932,23.27,23.884,-0.031,23.67,24.07,23.666,23.915,47.736,0.243,95.32,-0.155,0.404,1
06.14.2023,23.67,24.07,23.666,23.915,0.243,24.07,24.246,23.614,23.672,47.86,-0.393,95.60,-0.574,0.632,0
